PaymentID,OrderNum,PaymentMethod,IsDefault,Amount
1,1,PayPal,FALSE,226.07
2,2,PayPal,TRUE,1873.57
3,2,Cash,FALSE,1610.49
4,2,Cash,FALSE,1511.05
5,3,Bank Transfer,TRUE,714.12
6,4,Cash,FALSE,924.69
7,4,Bank Transfer,TRUE,594.56
8,5,Credit Card,TRUE,1767.67
9,5,Bank Transfer,TRUE,918.48
10,5,PayPal,TRUE,388.03
11,6,Bank Transfer,FALSE,993.24
12,6,Cash,FALSE,788.36
13,7,Bank Transfer,TRUE,1968.06
14,7,Credit Card,FALSE,1128.71
15,8,Credit Card,FALSE,1889.88
16,9,Cash,TRUE,431.59
17,9,Bank Transfer,FALSE,937.81
18,10,Bank Transfer,FALSE,1901.25
19,11,Cash,TRUE,231.98
20,11,Bank Transfer,TRUE,1389.81
21,12,Bank Transfer,TRUE,1291.83
22,12,Cash,FALSE,1601.54
23,12,Bank Transfer,FALSE,1519.24
24,13,PayPal,TRUE,176.51
25,13,Bank Transfer,TRUE,1041.85
26,14,Bank Transfer,FALSE,485.7
27,14,PayPal,FALSE,552.76
28,15,PayPal,FALSE,26.13
29,15,Bank Transfer,TRUE,1304.88
30,15,Credit Card,TRUE,1089.98
31,16,Credit Card,FALSE,822.99
32,16,Cash,FALSE,1994.4
33,16,Bank Transfer,TRUE,203.05
34,17,PayPal,FALSE,915.88
35,18,PayPal,FALSE,734.81
36,19,Bank Transfer,FALSE,601.8
37,19,PayPal,TRUE,1319.86
38,20,Bank Transfer,FALSE,962.56
39,20,Credit Card,TRUE,983.55
40,21,Cash,FALSE,1515.62
41,21,Credit Card,FALSE,1902.46
42,22,Bank Transfer,TRUE,176.06
43,23,Bank Transfer,FALSE,617.09
44,24,Bank Transfer,FALSE,301.48
45,24,Bank Transfer,FALSE,1011.467853
46,25,PayPal,TRUE,1011.467853
47,25,Bank Transfer,FALSE,1408.73
48,26,Credit Card,TRUE,313.06
49,27,Bank Transfer,TRUE,1129.19
50,28,Credit Card,FALSE,264.07
51,28,Bank Transfer,FALSE,1011.467853
52,28,Cash,FALSE,182.99
53,29,Cash,TRUE,1574.86
54,29,PayPal,FALSE,1620.85
55,29,Credit Card,FALSE,1702.8
56,30,Cash,TRUE,1639.52
57,31,Bank Transfer,FALSE,1790.48
58,31,Credit Card,TRUE,1359.49
59,32,Credit Card,TRUE,109
60,32,PayPal,TRUE,803.03
61,32,PayPal,FALSE,310.48
62,33,PayPal,TRUE,1737.22
63,33,Cash,TRUE,1273.09
64,33,Credit Card,FALSE,489.14
65,34,Cash,FALSE,1922.07
66,34,Credit Card,FALSE,1464.83
67,35,Bank Transfer,TRUE,401.11
68,35,Bank Transfer,TRUE,1941.49
69,36,PayPal,TRUE,151.02
70,36,Credit Card,FALSE,1473.82
71,36,Credit Card,FALSE,1230.18
72,37,Cash,TRUE,917.48
73,37,PayPal,FALSE,962.71
74,38,Bank Transfer,TRUE,1194.13
75,39,Bank Transfer,TRUE,713.54
76,39,PayPal,FALSE,353.05
77,39,Cash,FALSE,341.39
78,40,Bank Transfer,FALSE,754.52
79,40,Bank Transfer,FALSE,1948.97
80,41,Cash,FALSE,419.33
81,41,Bank Transfer,TRUE,1597.6
82,42,Bank Transfer,FALSE,1414.37
83,43,Bank Transfer,FALSE,1553.57
84,43,Bank Transfer,TRUE,777.26
85,44,PayPal,FALSE,289.02
86,45,Bank Transfer,TRUE,848.9
87,45,Credit Card,TRUE,961.14
88,45,PayPal,TRUE,629.75
89,46,Bank Transfer,FALSE,391.12
90,46,Cash,FALSE,712.81
91,47,PayPal,TRUE,399.11
92,47,Cash,FALSE,571.48
93,48,PayPal,FALSE,1011.467853
94,48,PayPal,FALSE,172.84
95,48,PayPal,FALSE,1319.88
